HR,HIP,Name,RA_hours,RA_deg,Dec,Mag
5602,73555,42Bet Boo,15.032444444444446,225.48666666666668,40.39055555555556,3.5
509,8102,52Tau Cet,1.7344722222222222,26.017083333333332,-15.9375,3.5
7150,93085,37Xi 2Sgr,18.962166666666665,284.43249999999995,-21.10666666666667,3.51
6897,90422,Alp Tel,18.449555555555555,276.74333333333334,-45.968333333333334,3.51
3975,49583,30Eta Leo,10.122222222222224,151.83333333333334,16.762777777777778,3.52
3249,40526,17Bet Cnc,8.275250000000002,124.12875000000003,9.185555555555556,3.52
8694,112724,32Iot Cep,22.828,342.42,66.20055555555555,3.52
3852,47508,14Omi Leo,9.685833333333333,145.2875,9.892222222222221,3.52
1409,20889,74Eps Tau,4.476944444444444,67.15416666666667,19.18027777777778,3.53
5881,77516,32Mu  Ser,15.827,237.405,-3.4302777777777775,3.53
8450,109427,26The Peg,22.17,332.55,6.197777777777778,3.53
6220,81833,44Eta Her,16.714944444444445,250.72416666666666,38.92222222222222,3.53
2777,35550,55Del Gem,7.335388888888889,110.03083333333333,21.98222222222222,3.53
1136,17378,23Del Eri,3.7208055555555557,55.812083333333334,-9.763333333333334,3.54
4450,56343,Xi  Hya,11.550027777777778,173.25041666666667,-31.85777777777778,3.54
6561,86263,55Xi  Ser,17.626444444444445,264.39666666666665,-15.39861111111111,3.54
3940,48774,Phi Vel,9.947722222222222,149.21583333333334,-54.56777777777778,3.54
1879,26207,39Lam Ori,5.585638888888888,83.78458333333332,9.934166666666666,3.54
5354,69996,Iot Lup,14.32338888888889,214.85083333333333,-46.05777777777777,3.55
1998,27288,14Zet Lep,5.782583333333333,86.73875,-14.821944444444444,3.55
1347,20042,41Ups4Eri,4.2982499999999995,64.47375,-33.79833333333333,3.56
4382,55282,12Del Crt,11.32236111111111,169.83541666666665,-14.778611111111111,3.56
7665,99240,Del Pav,20.145444444444443,302.1816666666667,-66.18194444444445,3.56
5705,75177,Phi1Lup,15.363444444444443,230.45166666666665,-36.26138888888889,3.56
674,10602,Phi Eri,2.275166666666667,34.127500000000005,-51.51222222222222,3.56
74,1562,8Iot Cet,0.32380555555555557,4.857083333333334,-8.823888888888888,3.56
464,7607,51    And,1.6332222222222224,24.498333333333335,48.62833333333333,3.57
6252,82545,Mu 2Sco,16.87225,253.08375,-38.0175,3.57
6927,89937,44Chi Dra,18.350944444444448,275.2641666666667,72.73277777777778,3.57
2985,37740,77Kap Gem,7.740777777777778,116.11166666666666,24.398055555555555,3.57
7754,100064,6Alp2Cap,20.300916666666666,304.51374999999996,-12.544722222222221,3.57
2763,35350,54Lam Gem,7.301555555555556,109.52333333333334,16.540277777777778,3.58
5794,76470,39Ups Lib,15.617083333333333,234.25625,-28.134999999999998,3.58
5429,71053,25Rho Boo,14.5305,217.9575,30.37138888888889,3.58
4700,60260,Eps Cru,12.356,185.34,-60.401111111111106,3.59
3786,46651,Psi Vel,9.511666666666667,142.675,-40.46666666666667,3.6
1735,24674,20Tau Ori,5.293444444444444,79.40166666666666,-6.844444444444444,3.6
3594,44471,12Kap UMa,9.060416666666667,135.90625,47.156666666666666,3.6
1030,15900,1Omi Tau,3.4135555555555555,51.20333333333333,9.02888888888889,3.6
2540,33018,34The Gem,6.879805555555556,103.19708333333335,33.961111111111116,3.6
402,6537,45The Cet,1.400388888888889,21.005833333333335,-8.183333333333334,3.6
1983,27072,13Gam Lep,5.741055555555556,86.11583333333333,-22.448333333333334,3.6
4540,57757,5Bet Vir,11.844916666666668,177.67375,1.7647222222222223,3.61
3017,37819,,7.75425,116.31375,-37.968611111111116,3.61
3994,49841,41Lam Hya,10.176472222222221,152.6470833333333,-12.354166666666666,3.61
437,7097,99Eta Psc,1.524722222222222,22.87083333333333,15.345833333333333,3.62
8762,113726,1Omi And,23.032027777777778,345.48041666666666,42.32611111111112,3.62
6271,82729,Zet2Sco,16.90972222222222,253.64583333333331,-42.36138888888889,3.62
6582,86929,Eta Pav,17.76222222222222,266.4333333333333,-64.7238888888889,3.62
4923,63613,Del Mus,13.037833333333333,195.5675,-71.54888888888888,3.62
6500,85727,Del Ara,17.518305555555553,262.7745833333333,-60.68388888888889,3.62
3447,42536,,8.671555555555555,130.07333333333332,-52.92194444444444,3.62
838,13209,41    Ari,2.833055555555555,42.49583333333333,27.260555555555555,3.63
